id	name	label	group_code	category	cost	general_inflow	ad_inflow	bounce	browse	cvr	aov	cpc	description	side_effect	synergy_text	main_kpi
A01	SEO強化	A01｜SEO強化	A	集客	2	1000	0	0	0	0	0	0	商品ページの検索キーワードを最適化する／比較記事やSEO記事を追加する／内部リンク構造を整理する	成果が出るまで時間がかかる／継続的な記事更新コストが発生する	A13（LP改善）→一般流入+500/CVR+0.001	GI
A02	SNS運用強化	A02｜SNS運用強化	A	集客	1	1000	0	0	0.01	0	0	0	Instagramで商品紹介投稿を増やす／Xでキャンペーン情報を発信する／UGC投稿を活用して拡散を促進する	継続運用の負荷が高い／流入品質が不安定になりやすい	A11（記事コンテンツ追加）→一般流入+300/回遊+0.03/CVR+0.0005	GI / BR
A03	広告出稿拡大	A03｜広告出稿拡大	A	集客	3	0	1500	0	0	0	0	10	リスティング広告の予算を増額する／新しい広告媒体へ出稿する／高CVキーワードへ入札を集中する	広告費が急増する／CPAが悪化する可能性がある	A21（広告精査）→広告流入+500/CVR+0.0005/CPC-5	AI / CPC
A04	インフルエンサー施策	A04｜インフルエンサー施策	A	集客	2	800	0	0	0.005	0.0003	0	0	インフルエンサーへ商品レビューを依頼する／SNSタイアップ投稿を実施する／レビュー動画を拡散する	効果が一時的になりやすい／ブランドイメージに影響する可能性がある		GI / BR / CVR
A05	ファーストビュー改善	A05｜ファーストビュー改善	B	UX	2	0	0	-0.05	0	0.0005	0	0	ファーストビューの訴求文を改善する／CTAボタンを目立つ位置へ変更する／商品価値を伝える画像へ差し替える	期待値が上がりすぎる可能性がある／デザイン変更コストが発生する	A14（フォーム改善）→離脱-0.03/CVR+0.0015	BO / CVR
A06	導線改善	A06｜導線改善	B	UX	2	0	0	-0.03	0.03	0	0	0	商品ページへの導線を短縮する／関連商品リンクを増やす／カテゴリ構造を整理する	導線が複雑になる可能性がある／回遊過多でCVが遅れる場合がある	A10（レビュー強化）→離脱-0.02/回遊+0.03/CVR+0.0005	BO / BR
A07	モバイル最適化	A07｜モバイル最適化	B	UX	2	0	0	-0.04	0	0.0005	0	0	スマホUIを最適化する／タップ領域を改善する／縦スクロール設計を見直す	開発負荷が増加する／PC表示との整合性が崩れる場合がある		BO / CVR
A08	ページ速度改善	A08｜ページ速度改善	B	UX	1	0	0	-0.02	0.005	0	0	0	画像圧縮を行う／不要スクリプトを削減する／キャッシュ設定を最適化する	機能制限が発生する可能性がある／技術対応コストが発生する		BO / BR
A09	セット販売の導入	A09｜セット販売の導入	C	AOV改善	2	0	0	0	0.01	0.0003	400	0	関連商品のセット販売を提案する／まとめ買い割引を導入する／商品ページで組み合わせ提案を行う	在庫管理が複雑化する／単品購入率が低下する可能性がある		BR / CVR / AOV
A10	レビュー強化	A10｜レビュー強化	C	コンテンツ	1	0	0	0	0.01	0.0005	0	0	購入者レビューを掲載する／星評価を表示する／写真付きレビューを収集する	ネガティブレビューの影響を受ける可能性がある／レビュー管理工数が増加する	A19（リターゲティング）→一般流入+200/広告流入+200/回遊+0.02/CVR+0.0005	BR / CVR
